customer_id,first_name,last_name,email,address_id,create_date,last_update
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,"2006-02-14 22:04:36","2006-02-15 04:57:20"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,"2006-02-14 22:04:36","2006-02-15 04:57:20"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,"2006-02-14 22:04:36","2006-02-15 04:57:20"
4,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8,"2006-02-14 22:04:36","2006-02-15 04:57:20"
5,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,"2006-02-14 22:04:36","2006-02-15 04:57:20"
6,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10,"2006-02-14 22:04:36","2006-02-15 04:57:20"
7,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,"2006-02-14 22:04:36","2006-02-15 04:57:20"
8,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,"2006-02-14 22:04:36","2006-02-15 04:57:20"
9,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13,"2006-02-14 22:04:36","2006-02-15 04:57:20"
10,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,"2006-02-14 22:04:36","2006-02-15 04:57:20"
11,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,15,"2006-02-14 22:04:36","2006-02-15 04:57:20"
12,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16,"2006-02-14 22:04:36","2006-02-15 04:57:20"
13,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,17,"2006-02-14 22:04:36","2006-02-15 04:57:20"
14,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,18,"2006-02-14 22:04:36","2006-02-15 04:57:20"
15,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19,"2006-02-14 22:04:36","2006-02-15 04:57:20"
16,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,"2006-02-14 22:04:36","2006-02-15 04:57:20"
17,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,"2006-02-14 22:04:36","2006-02-15 04:57:20"
18,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22,"2006-02-14 22:04:36","2006-02-15 04:57:20"
19,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,23,"2006-02-14 22:04:36","2006-02-15 04:57:20"
20,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,24,"2006-02-14 22:04:36","2006-02-15 04:57:20"
21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,25,"2006-02-14 22:04:36","2006-02-15 04:57:20"
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,26,"2006-02-14 22:04:36","2006-02-15 04:57:20"
23,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,27,"2006-02-14 22:04:36","2006-02-15 04:57:20"
24,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,28,"2006-02-14 22:04:36","2006-02-15 04:57:20"
25,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,29,"2006-02-14 22:04:36","2006-02-15 04:57:20"
26,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,30,"2006-02-14 22:04:36","2006-02-15 04:57:20"
27,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,31,"2006-02-14 22:04:36","2006-02-15 04:57:20"
28,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,32,"2006-02-14 22:04:36","2006-02-15 04:57:20"
29,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,33,"2006-02-14 22:04:36","2006-02-15 04:57:20"
30,MELISSA,KING,MELISSA.KING@sakilacustomer.org,34,"2006-02-14 22:04:36","2006-02-15 04:57:20"
31,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,35,"2006-02-14 22:04:36","2006-02-15 04:57:20"
32,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,36,"2006-02-14 22:04:36","2006-02-15 04:57:20"
33,ANNA,HILL,ANNA.HILL@sakilacustomer.org,37,"2006-02-14 22:04:36","2006-02-15 04:57:20"
34,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,38,"2006-02-14 22:04:36","2006-02-15 04:57:20"
35,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,39,"2006-02-14 22:04:36","2006-02-15 04:57:20"
36,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,40,"2006-02-14 22:04:36","2006-02-15 04:57:20"
37,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,41,"2006-02-14 22:04:36","2006-02-15 04:57:20"
38,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,42,"2006-02-14 22:04:36","2006-02-15 04:57:20"
39,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,43,"2006-02-14 22:04:36","2006-02-15 04:57:20"
40,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,44,"2006-02-14 22:04:36","2006-02-15 04:57:20"
41,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,45,"2006-02-14 22:04:36","2006-02-15 04:57:20"
42,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,46,"2006-02-14 22:04:36","2006-02-15 04:57:20"
43,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,47,"2006-02-14 22:04:36","2006-02-15 04:57:20"
44,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,48,"2006-02-14 22:04:36","2006-02-15 04:57:20"
45,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,49,"2006-02-14 22:04:36","2006-02-15 04:57:20"
46,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,50,"2006-02-14 22:04:36","2006-02-15 04:57:20"
47,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,51,"2006-02-14 22:04:36","2006-02-15 04:57:20"
48,ANN,EVANS,ANN.EVANS@sakilacustomer.org,52,"2006-02-14 22:04:36","2006-02-15 04:57:20"
49,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,53,"2006-02-14 22:04:36","2006-02-15 04:57:20"
50,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,54,"2006-02-14 22:04:36","2006-02-15 04:57:20"
51,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,55,"2006-02-14 22:04:36","2006-02-15 04:57:20"
52,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,56,"2006-02-14 22:04:36","2006-02-15 04:57:20"
53,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,57,"2006-02-14 22:04:36","2006-02-15 04:57:20"
54,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,58,"2006-02-14 22:04:36","2006-02-15 04:57:20"
55,DORIS,REED,DORIS.REED@sakilacustomer.org,59,"2006-02-14 22:04:36","2006-02-15 04:57:20"
56,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,60,"2006-02-14 22:04:36","2006-02-15 04:57:20"
57,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,61,"2006-02-14 22:04:36","2006-02-15 04:57:20"
58,JEAN,BELL,JEAN.BELL@sakilacustomer.org,62,"2006-02-14 22:04:36","2006-02-15 04:57:20"
59,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,63,"2006-02-14 22:04:36","2006-02-15 04:57:20"
60,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,64,"2006-02-14 22:04:36","2006-02-15 04:57:20"
61,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,65,"2006-02-14 22:04:36","2006-02-15 04:57:20"
62,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,66,"2006-02-14 22:04:36","2006-02-15 04:57:20"
63,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,67,"2006-02-14 22:04:36","2006-02-15 04:57:20"
64,JUDITH,COX,JUDITH.COX@sakilacustomer.org,68,"2006-02-14 22:04:36","2006-02-15 04:57:20"
65,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,69,"2006-02-14 22:04:36","2006-02-15 04:57:20"
66,JANICE,WARD,JANICE.WARD@sakilacustomer.org,70,"2006-02-14 22:04:36","2006-02-15 04:57:20"
67,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,71,"2006-02-14 22:04:36","2006-02-15 04:57:20"
68,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,72,"2006-02-14 22:04:36","2006-02-15 04:57:20"
69,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,73,"2006-02-14 22:04:36","2006-02-15 04:57:20"
70,CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,74,"2006-02-14 22:04:36","2006-02-15 04:57:20"
71,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,75,"2006-02-14 22:04:36","2006-02-15 04:57:20"
72,THERESA,WATSON,THERESA.WATSON@sakilacustomer.org,76,"2006-02-14 22:04:36","2006-02-15 04:57:20"
73,BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,77,"2006-02-14 22:04:36","2006-02-15 04:57:20"
74,DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,78,"2006-02-14 22:04:36","2006-02-15 04:57:20"
75,TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,79,"2006-02-14 22:04:36","2006-02-15 04:57:20"
76,IRENE,PRICE,IRENE.PRICE@sakilacustomer.org,80,"2006-02-14 22:04:36","2006-02-15 04:57:20"
77,JANE,BENNETT,JANE.BENNETT@sakilacustomer.org,81,"2006-02-14 22:04:36","2006-02-15 04:57:20"
78,LORI,WOOD,LORI.WOOD@sakilacustomer.org,82,"2006-02-14 22:04:36","2006-02-15 04:57:20"
79,RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org,83,"2006-02-14 22:04:36","2006-02-15 04:57:20"
80,MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,84,"2006-02-14 22:04:36","2006-02-15 04:57:20"
81,ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,85,"2006-02-14 22:04:36","2006-02-15 04:57:20"
82,KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,86,"2006-02-14 22:04:36","2006-02-15 04:57:20"
83,LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org,87,"2006-02-14 22:04:36","2006-02-15 04:57:20"
84,SARA,PERRY,SARA.PERRY@sakilacustomer.org,88,"2006-02-14 22:04:36","2006-02-15 04:57:20"
85,ANNE,POWELL,ANNE.POWELL@sakilacustomer.org,89,"2006-02-14 22:04:36","2006-02-15 04:57:20"
86,JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org,90,"2006-02-14 22:04:36","2006-02-15 04:57:20"
87,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,91,"2006-02-14 22:04:36","2006-02-15 04:57:20"
88,BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org,92,"2006-02-14 22:04:36","2006-02-15 04:57:20"
89,JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,93,"2006-02-14 22:04:36","2006-02-15 04:57:20"
90,RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,94,"2006-02-14 22:04:36","2006-02-15 04:57:20"
91,LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org,95,"2006-02-14 22:04:36","2006-02-15 04:57:20"
92,TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org,96,"2006-02-14 22:04:36","2006-02-15 04:57:20"
93,PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,97,"2006-02-14 22:04:36","2006-02-15 04:57:20"
94,NORMA,GONZALES,NORMA.GONZALES@sakilacustomer.org,98,"2006-02-14 22:04:36","2006-02-15 04:57:20"
95,PAULA,BRYANT,PAULA.BRYANT@sakilacustomer.org,99,"2006-02-14 22:04:36","2006-02-15 04:57:20"
96,DIANA,ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,100,"2006-02-14 22:04:36","2006-02-15 04:57:20"
97,ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,101,"2006-02-14 22:04:36","2006-02-15 04:57:20"
98,LILLIAN,GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,102,"2006-02-14 22:04:36","2006-02-15 04:57:20"
99,EMILY,DIAZ,EMILY.DIAZ@sakilacustomer.org,103,"2006-02-14 22:04:36","2006-02-15 04:57:20"
100,ROBIN,HAYES,ROBIN.HAYES@sakilacustomer.org,104,"2006-02-14 22:04:36","2006-02-15 04:57:20"
101,PEGGY,MYERS,PEGGY.MYERS@sakilacustomer.org,105,"2006-02-14 22:04:36","2006-02-15 04:57:20"
102,CRYSTAL,FORD,CRYSTAL.FORD@sakilacustomer.org,106,"2006-02-14 22:04:36","2006-02-15 04:57:20"
103,GLADYS,HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,107,"2006-02-14 22:04:36","2006-02-15 04:57:20"
104,RITA,GRAHAM,RITA.GRAHAM@sakilacustomer.org,108,"2006-02-14 22:04:36","2006-02-15 04:57:20"
105,DAWN,SULLIVAN,DAWN.SULLIVAN@sakilacustomer.org,109,"2006-02-14 22:04:36","2006-02-15 04:57:20"
106,CONNIE,WALLACE,CONNIE.WALLACE@sakilacustomer.org,110,"2006-02-14 22:04:36","2006-02-15 04:57:20"
107,FLORENCE,WOODS,FLORENCE.WOODS@sakilacustomer.org,111,"2006-02-14 22:04:36","2006-02-15 04:57:20"
108,TRACY,COLE,TRACY.COLE@sakilacustomer.org,112,"2006-02-14 22:04:36","2006-02-15 04:57:20"
109,EDNA,WEST,EDNA.WEST@sakilacustomer.org,113,"2006-02-14 22:04:36","2006-02-15 04:57:20"
110,TIFFANY,JORDAN,TIFFANY.JORDAN@sakilacustomer.org,114,"2006-02-14 22:04:36","2006-02-15 04:57:20"
