"Id","OrderNumber","OrderDate","FirstName","City","Country","ProductName","UnitPrice","Quantity","Sale_Dollars","CompanyName"
"1","542378","2012-07-04 00:00:00","Paul","Reims","France","Queso Cabrales","14.00","12","168.00","Cooperativa de Quesos 'Las Cabras'"
"1","542378","2012-07-04 00:00:00","Paul","Reims","France","Mozzarella di Giovanni","34.80","5","174.00","Formaggi Fortini s.r.l."
"2","542379","2012-07-05 00:00:00","Karin","Münster","Germany","Tofu","18.60","9","167.40","Mayumi's"
"2","542379","2012-07-05 00:00:00","Karin","Münster","Germany","Manjimup Dried Apples","42.40","40","1696.00","G'day, Mate"
"3","542380","2012-07-08 00:00:00","Mario","Rio de Janeiro","Brazil","Jack's New England Clam Chowder","7.70","10","77.00","New England Seafood Cannery"
"3","542380","2012-07-08 00:00:00","Mario","Rio de Janeiro","Brazil","Manjimup Dried Apples","42.40","35","1484.00","G'day, Mate"
"3","542380","2012-07-08 00:00:00","Mario","Rio de Janeiro","Brazil","Louisiana Fiery Hot Pepper Sauce","16.80","15","252.00","New Orleans Ca6/Delights"
"4","542381","2012-07-08 00:00:00","Mary","Lyon","France","Gustaf's Knäckebröd","16.80","6","100.80","PB Knäckebröd AB"
"4","542381","2012-07-08 00:00:00","Mary","Lyon","France","Ravioli Angelo","15.60","15","234.00","Pasta Buttini s.r.l."
"4","542381","2012-07-08 00:00:00","Mary","Lyon","France","Louisiana Fiery Hot Pepper Sauce","16.80","20","336.00","New Orleans Ca6/Delights"
"5","542382","2012-07-09 00:00:00","Pascale","Charleroi","Belgium","Sir Rodney's Marmalade","64.80","40","2592.00","Specialty Biscuits, Ltd."
"5","542382","2012-07-09 00:00:00","Pascale","Charleroi","Belgium","Geitost","2.00","25","50.00","Norske Meierier"
"5","542382","2012-07-09 00:00:00","Pascale","Charleroi","Belgium","Camembert Pierrot","27.20","40","1088.00","Gai pâturage"
"6","542383","2012-07-10 00:00:00","Mario","Rio de Janeiro","Brazil","Gorgonzola Telino","10.00","20","200.00","Formaggi Fortini s.r.l."
"6","542383","2012-07-10 00:00:00","Mario","Rio de Janeiro","Brazil","Chartreuse verte","14.40","42","604.80","Aux joyeux ecclésiastiques"
"6","542383","2012-07-10 00:00:00","Mario","Rio de Janeiro","Brazil","Maxilaku","16.00","40","640.00","Karkki Oy"
"7","542384","2012-07-11 00:00:00","Yang","Bern","Switzerland","Pâté chinois","19.20","21","403.20","Ma Maison"
"7","542384","2012-07-11 00:00:00","Yang","Bern","Switzerland","Longlife Tofu","8.00","21","168.00","Tokyo Traders"
"8","542385","2012-07-12 00:00:00","Michael","Genève","Switzerland","Chang","15.20","20","304.00","Exotic Liquids"
"8","542385","2012-07-12 00:00:00","Michael","Genève","Switzerland","Pavlova","13.90","35","486.50","Pavlova, Ltd."
"8","542385","2012-07-12 00:00:00","Michael","Genève","Switzerland","Inlagd Sill","15.20","25","380.00","Svensk Sjöföda AB"
"8","542385","2012-07-12 00:00:00","Michael","Genève","Switzerland","Raclette Courdavault","44.00","30","1320.00","Gai pâturage"
"9","542386","2012-07-15 00:00:00","Paula","Resende","Brazil","Original Frankfurter grüne Soße","10.40","12","124.80","Plutzer Lebensmittelgroßmärkte AG"
"10","542387","2012-07-16 00:00:00","Carlos","San Cristóbal","Venezuela","Schoggi Schokolade","35.10","25","877.50","Heli Süßwaren GmbH & Co. KG"
"10","542387","2012-07-16 00:00:00","Carlos","San Cristóbal","Venezuela","Chartreuse verte","14.40","6","86.40","Aux joyeux ecclésiastiques"
"10","542387","2012-07-16 00:00:00","Carlos","San Cristóbal","Venezuela","Original Frankfurter grüne Soße","10.40","15","156.00","Plutzer Lebensmittelgroßmärkte AG"
"11","542388","2012-07-17 00:00:00","Roland","Graz","Austria","Chang","15.20","50","760.00","Exotic Liquids"
"11","542388","2012-07-17 00:00:00","Roland","Graz","Austria","Mascarpone Fabioli","25.60","6","153.60","Formaggi Fortini s.r.l."
"12","542389","2012-07-18 00:00:00","Francisco","México D.F.","Mexico","Sir Rodney's Scones","8.00","10","80.00","Specialty Biscuits, Ltd."
"12","542389","2012-07-18 00:00:00","Francisco","México D.F.","Mexico","Gravad lax","20.80","1","20.80","Svensk Sjöföda AB"
"13","542390","2012-07-19 00:00:00","Henriette","Köln","Germany","Jack's New England Clam Chowder","7.70","16","123.20","New England Seafood Cannery"
"13","542390","2012-07-19 00:00:00","Henriette","Köln","Germany","Ravioli Angelo","15.60","50","780.00","Pasta Buttini s.r.l."
"13","542390","2012-07-19 00:00:00","Henriette","Köln","Germany","Tarte au sucre","39.40","15","591.00","Forêts d'érables"
"13","542390","2012-07-19 00:00:00","Henriette","Köln","Germany","Outback Lager","12.00","21","252.00","Pavlova, Ltd."
"14","542391","2012-07-19 00:00:00","Bernardo","Rio de Janeiro","Brazil","Sir Rodney's Scones","8.00","20","160.00","Specialty Biscuits, Ltd."
"14","542391","2012-07-19 00:00:00","Bernardo","Rio de Janeiro","Brazil","Steeleye Stout","14.40","20","288.00","Bigfoot Breweries"
"15","542392","2012-07-22 00:00:00","Paula","Albuquerque","USA","Uncle Bob's Organic Dried Pears","24.00","15","360.00","Grandma Kelly's Homestead"
"15","542392","2012-07-22 00:00:00","Paula","Albuquerque","USA","Gnocchi di nonna Alice","30.40","2","60.80","Pasta Buttini s.r.l."
"16","542393","2012-07-23 00:00:00","Roland","Graz","Austria","Pavlova","13.90","60","834.00","Pavlova, Ltd."
"16","542393","2012-07-23 00:00:00","Roland","Graz","Austria","Nord-Ost Matjeshering","20.70","60","1242.00","Nord-Ost-Fisch Handelsgesellschaft mbH"
"16","542393","2012-07-23 00:00:00","Roland","Graz","Austria","Longlife Tofu","8.00","36","288.00","Tokyo Traders"
"17","542394","2012-07-24 00:00:00","Maria","Bräcke","Sweden","Chang","15.20","35","532.00","Exotic Liquids"
"17","542394","2012-07-24 00:00:00","Maria","Bräcke","Sweden","Jack's New England Clam Chowder","7.70","25","192.50","New England Seafood Cannery"
"18","542395","2012-07-25 00:00:00","Frédérique","Strasbourg","France","Outback Lager","12.00","20","240.00","Pavlova, Ltd."
"19","542396","2012-07-26 00:00:00","Pirkko","Oulu","Finland","Queso Manchego La Pastora","30.40","12","364.80","Cooperativa de Quesos 'Las Cabras'"
"20","542397","2012-07-29 00:00:00","Peter","München","Germany","Boston Crab Meat","14.70","50","735.00","New England Seafood Cannery"
"20","542397","2012-07-29 00:00:00","Peter","München","Germany","Raclette Courdavault","44.00","70","3080.00","Gai pâturage"
"20","542397","2012-07-29 00:00:00","Peter","München","Germany","Lakkalikööri","14.40","15","216.00","Karkki Oy"
"21","542398","2012-07-30 00:00:00","Manuel","Caracas","Venezuela","Mozzarella di Giovanni","27.80","4","111.20","Formaggi Fortini s.r.l."
"22","542399","2012-07-31 00:00:00","Karl","Seattle","USA","Geitost","2.00","60","120.00","Norske Meierier"
"22","542399","2012-07-31 00:00:00","Karl","Seattle","USA","Mozzarella di Giovanni","27.80","20","556.00","Formaggi Fortini s.r.l."
"23","542400","2012-08-01 00:00:00","Pirkko","Oulu","Finland","Inlagd Sill","15.20","30","456.00","Svensk Sjöföda AB"
"23","542400","2012-08-01 00:00:00","Pirkko","Oulu","Finland","Ipoh Coffee","36.80","25","920.00","Leka Trading"
"24","542401","2012-08-01 00:00:00","Art","Lander","USA","Geitost","2.00","24","48.00","Norske Meierier"
"25","542402","2012-08-02 00:00:00","Paula","Albuquerque","USA","Sir Rodney's Marmalade","64.80","6","388.80","Specialty Biscuits, Ltd."
"25","542402","2012-08-02 00:00:00","Paula","Albuquerque","USA","Gorgonzola Telino","10.00","40","400.00","Formaggi Fortini s.r.l."
"25","542402","2012-08-02 00:00:00","Paula","Albuquerque","USA","Mozzarella di Giovanni","27.80","24","667.20","Formaggi Fortini s.r.l."
"26","542403","2012-08-05 00:00:00","Horst","Cunewalde","Germany","Ikura","24.80","24","595.20","Tokyo Traders"
"26","542403","2012-08-05 00:00:00","Horst","Cunewalde","Germany","Gorgonzola Telino","10.00","15","150.00","Formaggi Fortini s.r.l."
"26","542403","2012-08-05 00:00:00","Horst","Cunewalde","Germany","Geitost","2.00","20","40.00","Norske Meierier"
"26","542403","2012-08-05 00:00:00","Horst","Cunewalde","Germany","Boston Crab Meat","14.70","60","882.00","New England Seafood Cannery"
"26","542403","2012-08-05 00:00:00","Horst","Cunewalde","Germany","Lakkalikööri","14.40","33","475.20","Karkki Oy"
"27","542404","2012-08-06 00:00:00","Paul","Reims","France","Flotemysost","17.20","20","344.00","Norske Meierier"
"27","542404","2012-08-06 00:00:00","Paul","Reims","France","Mozzarella di Giovanni","27.80","7","194.60","Formaggi Fortini s.r.l."
"28","542405","2012-08-07 00:00:00","Giovanni","Bergamo","Italy","Raclette Courdavault","44.00","6","264.00","Gai pâturage"
"29","542406","2012-08-08 00:00:00","Miguel","México D.F.","Mexico","Ikura","24.80","15","372.00","Tokyo Traders"
"29","542406","2012-08-08 00:00:00","Miguel","México D.F.","Mexico","Konbu","4.80","10","48.00","Mayumi's"
"30","542407","2012-08-09 00:00:00","Alexander","Leipzig","Germany","Tarte au sucre","39.40","12","472.80","Forêts d'érables"
"31","542408","2012-08-12 00:00:00","Christina","Luleå","Sweden","Gula Malacca","15.50","16","248.00","Leka Trading"
"31","542408","2012-08-12 00:00:00","Christina","Luleå","Sweden","Raclette Courdavault","44.00","15","660.00","Gai pâturage"
"31","542408","2012-08-12 00:00:00","Christina","Luleå","Sweden","Vegie-spread","35.10","8","280.80","Pavlova, Ltd."
"31","542408","2012-08-12 00:00:00","Christina","Luleå","Sweden","Röd Kaviar","12.00","25","300.00","Svensk Sjöföda AB"
"33","542410","2012-08-14 00:00:00","Christina","Luleå","Sweden","Pâté chinois","19.20","20","384.00","Ma Maison"
"33","542410","2012-08-14 00:00:00","Christina","Luleå","Sweden","Rhönbräu Klosterbier","6.20","30","186.00","Plutzer Lebensmittelgroßmärkte AG"
"34","542411","2012-08-14 00:00:00","Alejandra","Madrid","Spain","Teatime Chocolate Biscuits","7.30","1","7.30","Specialty Biscuits, Ltd."
"34","542411","2012-08-14 00:00:00","Alejandra","Madrid","Spain","Steeleye Stout","14.40","4","57.60","Bigfoot Breweries"
"35","542412","2012-08-15 00:00:00","Alejandra","Madrid","Spain","Nord-Ost Matjeshering","20.70","6","124.20","Nord-Ost-Fisch Handelsgesellschaft mbH"
"35","542412","2012-08-15 00:00:00","Alejandra","Madrid","Spain","Ravioli Angelo","15.60","2","31.20","Pasta Buttini s.r.l."
"36","542413","2012-08-16 00:00:00","Carlos","Barquisimeto","Venezuela","Genen Shouyu","12.40","20","248.00","Mayumi's"
